epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.42,0,35.2367,0,0,0,0,0,0,3.16443,0,0.000650794,0.000650794,0.000650794
2,327.906,0,1.5967,0,0,0,0,0,0,1.62421,0,0.00129137,0.00129137,0.00129137
3,465.22,0,0.67639,0,0,0,0,0,0,0.68041,0,0.00190556,0.00190556,0.00190556
4,652.851,0,0.28122,0,0,0,0,0,0,0.31079,0,0.0018812,0.0018812,0.0018812
5,1771.55,0,0.11733,0,0,0,0,0,0,0.08301,0,0.0018416,0.0018416,0.0018416
6,1915.39,0,0.03406,0,0,0,0,0,0,0.04292,0,0.001802,0.001802,0.001802
7,2208.74,0,0.01545,0,0,0,0,0,0,0.01125,0,0.0017624,0.0017624,0.0017624
8,3480.17,0,0.00538,0,0,0,0,0,0,0.00845,0,0.0017228,0.0017228,0.0017228
9,3646.54,0,0.00336,0,0,0,0,0,0,0.00556,0,0.0016832,0.0016832,0.0016832
10,3830.24,0,0.00302,0,0,0,0,0,0,0.00556,0,0.0016436,0.0016436,0.0016436
11,4013.38,0,0.00302,0,0,0,0,0,0,0.00556,0,0.001604,0.001604,0.001604
12,5118.27,0,0.00302,0,0,0,0,0,0,0.00555,0,0.0015644,0.0015644,0.0015644
13,5296.3,0,0.00299,0,0,0,0,0,0,0.00536,0,0.0015248,0.0015248,0.0015248
14,5481.3,0,0.00281,0,0,0,0,0,0,0.00489,0,0.0014852,0.0014852,0.0014852
15,5663.9,0,0.00177,0,0,0,0,0,0,0.00184,0,0.0014456,0.0014456,0.0014456
16,5850.91,0,0.00051,0,0,0,0,0,0,6e-05,0,0.001406,0.001406,0.001406
17,6039.06,0,0,0,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,6225.13,0,0,0,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,6413.45,0,0,0,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,6601.79,0,0,0,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,6853.25,0,0,0,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,7347.27,0,0,0,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,7883.68,0,0,0,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,8316.52,0,0,0,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,8469.34,0,0,0,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,8622.19,0,0,0,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,8854.09,0,0,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,9010.54,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,9238.51,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,9410.29,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,9556.33,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,9715.2,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,9869.66,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,10012.2,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,10158.9,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,10342.6,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,10530.6,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,10716.9,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,10901.6,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,11088.2,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,11272.3,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,11459.2,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,11646,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,11832.7,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,12020.8,0,0,0,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,12206.2,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,12392.9,0,0,0,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,12578.4,0,0,0,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,12763.9,0,0,0,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,12949.8,0,0,0,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
